Type,Model,Precision,Recall,F1-score
Statistical,mZ-score,0.4620,0.6213,0.3859
Statistical,IQR Method,0.5205,0.4929,0.4143
ML/DL,Local Outlier Factor,0.4785,0.4683,0.4138
ML/DL,Isolation Forest,0.5490,0.5097,0.4930
ML/DL,VAE,0.7978,0.7471,0.7280
Zero-shot,TimeGPT,0.2963,0.2980,0.2850
Zero-shot,MOMENT,0.6834,0.7039,0.6448
Zero-shot,UniTS,0.5345,0.6950,0.5259
Zero-shot,TSPulse,0.7568,0.8015,0.7413
Fine-tuned,MOMENT,0.7412,0.6644,0.6495
Fine-tuned,UniTS,0.6288,0.7261,0.6012
Fine-tuned,TSPulse,0.7552,0.9105,0.7999
Pre-trained,Energy-TSPulse,0.7954,0.9102,0.8220

