Type,Model,Out-of-distribution(OOD)_Commercial,Out-of-distribution(OOD)_Residential,In-Distribution(ID)_Commercial,In-Distribution(ID)_Residential
Baseline,Naive (Mean),61.85,96.21,47.72,96.86
ML/DL,Auto-ARIMA,51.12,85.39,48.61,85
ML/DL,LR,28.13,95.87,37.51,103.47
ML/DL,LightGBM,28.67,90.03,35.26,110.37
ML/DL,PatchTST,38.31,72.64,36.54,71.73
ML/DL,TFT,42.39,77.52,39.81,76.76
Zero-shot,Moirai,61.66,99.48,53.1,76.14
Zero-shot,Lag-Llama,48.26,87.84,57.45,82.49
Zero-shot,TimesFM,23.89,68.75,48.67,66.98
Zero-shot,MOMENT,52.05,74.03,44.91,76.37
Zero-shot,TTMs,22.34,75.15,30.9,73.16
Zero-shot,Transformer-L (G),112.13,74.42,111.74,85.67
Fine-tuned,Moirai,27.84,62.28,27.24,57.18
Fine-tuned,Lag-Llama,29.54,68.89,30.92,66.63
Fine-tuned,MOMENT,38.29,71.78,42.95,73.2
Pre-trained,Energy-TTMs,22.9,60.61,32.1,64.82
Zero-shot,Moirai2p0,19.63,69.21,32.9,66.28
Zero-shot,TimesFM_2p5,21.46,74.21,,
Zero-shot,TireX,22.43,83.03,33.83,97.92
Zero-shot,Kairos_50m,66.45,100.97,47.17,133.47
Zero-shot,Kairos_23m,69.89,262.86,88.18,216.09
